Plot,Unit,Treatment,PFT_simple,Mortality_frac_yr,Total_count,SE_plot,Timeframe
0040-00104,40,None,psme,0.0,2,0.0,2001-2003
0040-00105,40,None,cedar,0.0,4,0.0,2001-2003
0040-00105,40,None,fir,0.0,11,0.0,2001-2003
0040-00105,40,None,pine,0.0,1,0.0,2001-2003
0040-00105,40,None,psme,0.0871290708247231,6,0.11513585876544825,2001-2003
0040-00106,40,None,cedar,0.0,5,0.0,2001-2003
0040-00106,40,None,fir,0.06458565330651467,8,0.08690105486520673,2001-2003
0040-00106,40,None,pine,0.0,1,0.0,2001-2003
0040-00106,40,None,psme,0.0,7,0.0,2001-2003
0040-00107,40,None,cedar,0.1339745962155614,4,0.17031250965830336,2001-2003
0040-00107,40,None,fir,0.0,12,0.0,2001-2003
0040-00107,40,None,oak,0.1339745962155614,8,0.12042913050028567,2001-2003
0040-00107,40,None,psme,0.0,5,0.0,2001-2003
0040-00108,40,None,cedar,0.0,2,0.0,2001-2003
0040-00108,40,None,fir,0.0,1,0.0,2001-2003
0040-00108,40,None,oak,0.0,8,0.0,2001-2003
0040-00108,40,None,pine,0.0,1,0.0,2001-2003
0040-00108,40,None,psme,0.0,1,0.0,2001-2003
0040-00109,40,None,cedar,0.0,1,0.0,2001-2003
0040-00109,40,None,fir,0.0,1,0.0,2001-2003
0040-00109,40,None,oak,0.0,1,0.0,2001-2003
0040-00109,40,None,other_hardwood,0.05131670194948623,10,0.06977341761051542,2001-2003
0040-00109,40,None,pine,0.0,1,0.0,2001-2003
0040-00109,40,None,psme,0.0,4,0.0,2001-2003
0040-00110,40,None,cedar,0.0,1,0.0,2001-2003
0040-00110,40,None,fir,0.0,2,0.0,2001-2003
0040-00110,40,None,other_hardwood,0.03509871864598468,29,0.03417339083586097,2001-2003
0040-00110,40,None,psme,0.0,4,0.0,2001-2003
0040-00111,40,None,cedar,0.0,5,0.0,2001-2003
0040-00111,40,None,fir,0.0,1,0.0,2001-2003
0040-00111,40,None,other_hardwood,0.0,11,0.0,2001-2003
0040-00111,40,None,pine,0.0,1,0.0,2001-2003
0040-00111,40,None,psme,0.0,2,0.0,2001-2003
0040-00112,40,None,cedar,0.0,6,0.0,2001-2003
0040-00112,40,None,fir,0.0,2,0.0,2001-2003
0040-00112,40,None,psme,0.0,1,0.0,2001-2003
0040-00113,40,None,cedar,0.0,4,0.0,2001-2003
0040-00113,40,None,fir,0.0,7,0.0,2001-2003
0040-00113,40,None,oak,0.0,2,0.0,2001-2003
0040-00113,40,None,psme,0.0,6,0.0,2001-2003
0040-00114,40,None,cedar,0.0,9,0.0,2001-2003
0040-00114,40,None,fir,0.0,2,0.0,2001-2003
0040-00114,40,None,psme,0.0,2,0.0,2001-2003
0040-00115,40,None,cedar,0.0,1,0.0,2001-2003
0040-00115,40,None,fir,0.0,3,0.0,2001-2003
0040-00115,40,None,oak,0.0,4,0.0,2001-2003
0040-00115,40,None,other_hardwood,0.0,10,0.0,2001-2003
0040-00115,40,None,psme,0.0,2,0.0,2001-2003
0040-00116,40,None,cedar,0.0,5,0.0,2001-2003
0040-00116,40,None,fir,0.0,3,0.0,2001-2003
0040-00116,40,None,oak,0.0,11,0.0,2001-2003
0040-00116,40,None,psme,0.0,3,0.0,2001-2003
0060-00021,60,Burn,cedar,0.0,4,0.0,2001-2003
0060-00021,60,Burn,fir,0.2928932188134524,8,0.16089856322639565,2001-2003
0060-00021,60,Burn,oak,0.0,1,0.0,2001-2003
0060-00021,60,Burn,pine,0.0,2,0.0,2001-2003
0060-00021,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00027,60,Burn,cedar,0.0,7,0.0,2001-2003
0060-00101,60,Burn,cedar,0.0,19,0.0,2001-2003
0060-00101,60,Burn,fir,0.0,5,0.0,2001-2003
0060-00101,60,Burn,psme,0.0,2,0.0,2001-2003
0060-00102,60,Burn,cedar,0.0,7,0.0,2001-2003
0060-00102,60,Burn,fir,0.2928932188134524,10,0.14391204994250742,2001-2003
0060-00102,60,Burn,oak,0.0,3,0.0,2001-2003
0060-00102,60,Burn,pine,0.0,2,0.0,2001-2003
0060-00103,60,Burn,cedar,0.0,6,0.0,2001-2003
0060-00103,60,Burn,fir,0.0,1,0.0,2001-2003
0060-00103,60,Burn,oak,0.0,1,0.0,2001-2003
0060-00103,60,Burn,pine,0.0,1,0.0,2001-2003
0060-00103,60,Burn,psme,0.0,4,0.0,2001-2003
0060-00103,60,Burn,unknown,0.0,1,0.0,2001-2003
0060-00104,60,Burn,cedar,0.0,3,0.0,2001-2003
0060-00104,60,Burn,fir,0.0,1,0.0,2001-2003
0060-00104,60,Burn,pine,0.0,5,0.0,2001-2003
0060-00104,60,Burn,psme,0.0,3,0.0,2001-2003
0060-00105,60,Burn,cedar,0.11359473957208166,14,0.08480691292309363,2001-2003
0060-00105,60,Burn,fir,0.0,3,0.0,2001-2003
0060-00105,60,Burn,pine,0.0,1,0.0,2001-2003
0060-00105,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00106,60,Burn,cedar,0.0,7,0.0,2001-2003
0060-00106,60,Burn,fir,0.057190958417936644,9,0.07740237772200145,2001-2003
0060-00106,60,Burn,pine,0.0,3,0.0,2001-2003
0060-00106,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00107,60,Burn,cedar,0.0,4,0.0,2001-2003
0060-00107,60,Burn,fir,0.0,3,0.0,2001-2003
0060-00107,60,Burn,psme,0.1339745962155614,4,0.17031250965830336,2001-2003
0060-00108,60,Burn,cedar,0.2440710539815456,7,0.1623489955927763,2001-2003
0060-00108,60,Burn,oak,0.0,1,0.0,2001-2003
0060-00108,60,Burn,psme,0.0,3,0.0,2001-2003
0060-00109,60,Burn,cedar,0.2928932188134524,6,0.1857896575819671,2001-2003
0060-00109,60,Burn,fir,0.0,3,0.0,2001-2003
0060-00109,60,Burn,pine,0.0,2,0.0,2001-2003
0060-00109,60,Burn,psme,0.2928932188134524,4,0.22754493028111367,2001-2003
0060-00111,60,Burn,cedar,0.0,5,0.0,2001-2003
0060-00111,60,Burn,fir,0.0,5,0.0,2001-2003
0060-00111,60,Burn,pine,0.0,1,0.0,2001-2003
0060-00111,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00112,60,Burn,cedar,0.0,4,0.0,2001-2003
0060-00112,60,Burn,fir,0.0,4,0.0,2001-2003
0060-00112,60,Burn,oak,0.0,1,0.0,2001-2003
0060-00112,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00113,60,Burn,fir,0.0,4,0.0,2001-2003
0060-00113,60,Burn,pine,0.0,1,0.0,2001-2003
0060-00113,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00114,60,Burn,cedar,0.5,4,0.25,2001-2003
0060-00114,60,Burn,pine,0.0,3,0.0,2001-2003
0060-00114,60,Burn,psme,0.0,2,0.0,2001-2003
0060-00116,60,Burn,cedar,0.0,2,0.0,2001-2003
0060-00116,60,Burn,fir,0.0,6,0.0,2001-2003
0060-00116,60,Burn,psme,0.0,2,0.0,2001-2003
0060-00117,60,Burn,cedar,0.0,6,0.0,2001-2003
0060-00117,60,Burn,fir,0.0,4,0.0,2001-2003
0060-00117,60,Burn,pine,0.0,3,0.0,2001-2003
0060-00119,60,Burn,cedar,0.0,3,0.0,2001-2003
0060-00119,60,Burn,fir,0.09546596626670911,11,0.08860136236971891,2001-2003
0060-00119,60,Burn,oak,0.0,1,0.0,2001-2003
0060-00119,60,Burn,pine,0.0,2,0.0,2001-2003
0060-00119,60,Burn,psme,0.0,1,0.0,2001-2003
0060-00130,60,Burn,cedar,0.0,8,0.0,2001-2003
0060-00130,60,Burn,fir,0.0,5,0.0,2001-2003
0060-00130,60,Burn,oak,0.2928932188134524,2,0.3217971264527913,2001-2003
0060-00130,60,Burn,pine,0.0,1,0.0,2001-2003
0060-00130,60,Burn,psme,0.0,1,0.0,2001-2003
0180-00004,180,Burn+Thin,cedar,0.0,7,0.0,2001-2003
0180-00004,180,Burn+Thin,fir,0.5,4,0.25,2001-2003
0180-00004,180,Burn+Thin,oak,0.18350341907227397,3,0.2234799873672953,2001-2003
0180-00004,180,Burn+Thin,pine,0.18350341907227397,3,0.2234799873672953,2001-2003
0180-00004,180,Burn+Thin,psme,0.5527864045000421,5,0.22235718810056848,2001-2003
0180-00008,180,Burn+Thin,cedar,0.0,7,0.0,2001-2003
0180-00008,180,Burn+Thin,fir,0.1982162742627268,14,0.10654528979336517,2001-2003
0180-00008,180,Burn+Thin,pine,0.0,1,0.0,2001-2003
0180-00010,180,Burn+Thin,cedar,0.0,6,0.0,2001-2003
0180-00010,180,Burn+Thin,fir,0.42264973081037427,3,0.2851998923891174,2001-2003
0180-00010,180,Burn+Thin,pine,0.1339745962155614,4,0.17031250965830336,2001-2003
0180-00013,180,Burn+Thin,cedar,0.0,8,0.0,2001-2003
0180-00013,180,Burn+Thin,fir,0.0,3,0.0,2001-2003
0180-00013,180,Burn+Thin,oak,0.0,1,0.0,2001-2003
0180-00013,180,Burn+Thin,psme,0.2928932188134524,2,0.3217971264527913,2001-2003
0180-00018,180,Burn+Thin,cedar,0.3675444679663241,5,0.21561796401676547,2001-2003
0180-00018,180,Burn+Thin,fir,0.18350341907227397,6,0.15802421452689847,2001-2003
0180-00018,180,Burn+Thin,oak,0.0,1,0.0,2001-2003
0180-00018,180,Burn+Thin,pine,0.0,2,0.0,2001-2003
0180-00018,180,Burn+Thin,psme,0.0,1,0.0,2001-2003
0180-00101,180,Burn+Thin,fir,0.0,9,0.0,2001-2003
0180-00101,180,Burn+Thin,oak,0.0,1,0.0,2001-2003
0180-00101,180,Burn+Thin,pine,0.18350341907227397,9,0.1290262308650021,2001-2003
0180-00101,180,Burn+Thin,psme,0.44529980377477085,13,0.13784268863535973,2001-2003
0180-00102,180,Burn+Thin,cedar,0.10557280900008414,5,0.137424299889005,2001-2003
0180-00102,180,Burn+Thin,fir,0.2440710539815456,7,0.1623489955927763,2001-2003
0180-00102,180,Burn+Thin,oak,0.0,2,0.0,2001-2003
0180-00102,180,Burn+Thin,pine,0.10557280900008414,5,0.137424299889005,2001-2003
0180-00102,180,Burn+Thin,psme,0.42264973081037427,6,0.20166677790201853,2001-2003
0180-00107,180,Burn+Thin,cedar,0.0,1,0.0,2001-2003
0180-00107,180,Burn+Thin,fir,0.5527864045000421,10,0.15723027555148467,2001-2003
0180-00107,180,Burn+Thin,pine,0.1339745962155614,4,0.17031250965830336,2001-2003
0180-00107,180,Burn+Thin,psme,0.0,2,0.0,2001-2003
0180-00108,180,Burn+Thin,cedar,0.75,16,0.10825317547305482,2001-2003
0180-00108,180,Burn+Thin,fir,0.683772233983162,10,0.1470468517231287,2001-2003
0180-00108,180,Burn+Thin,pine,0.10557280900008414,5,0.137424299889005,2001-2003
0180-00109,180,Burn+Thin,cedar,0.5285954792089683,9,0.16639387627914992,2001-2003
0180-00109,180,Burn+Thin,fir,0.42264973081037427,12,0.1425999461945587,2001-2003
0180-00109,180,Burn+Thin,pine,0.2254033307585166,5,0.18686715561675538,2001-2003
0180-00110,180,Burn+Thin,cedar,0.0,1,0.0,2001-2003
0180-00110,180,Burn+Thin,fir,0.0,2,0.0,2001-2003
0180-00110,180,Burn+Thin,pine,0.0,1,0.0,2001-2003
0180-00110,180,Burn+Thin,psme,0.1339745962155614,4,0.17031250965830336,2001-2003
0180-00111,180,Burn+Thin,cedar,0.6464466094067263,8,0.1690241811817446,2001-2003
0180-00111,180,Burn+Thin,fir,0.39697731084447274,11,0.14752082303530872,2001-2003
0180-00111,180,Burn+Thin,pine,0.1339745962155614,4,0.17031250965830336,2001-2003
0180-00111,180,Burn+Thin,psme,0.0,1,0.0,2001-2003
0180-00114,180,Burn+Thin,cedar,0.0,1,0.0,2001-2003
0180-00114,180,Burn+Thin,fir,0.1339745962155614,4,0.17031250965830336,2001-2003
0180-00114,180,Burn+Thin,oak,0.2928932188134524,2,0.3217971264527913,2001-2003
0180-00114,180,Burn+Thin,pine,0.0,2,0.0,2001-2003
0180-00117,180,Burn+Thin,cedar,0.2254033307585166,5,0.18686715561675538,2001-2003
0180-00117,180,Burn+Thin,fir,0.0,3,0.0,2001-2003
0180-00117,180,Burn+Thin,psme,0.0,2,0.0,2001-2003
0180-00120,180,Burn+Thin,cedar,0.5527864045000421,5,0.22235718810056848,2001-2003
0180-00120,180,Burn+Thin,fir,0.0,2,0.0,2001-2003
0180-00120,180,Burn+Thin,pine,0.0,2,0.0,2001-2003
0180-00120,180,Burn+Thin,psme,0.5,4,0.25,2001-2003
0180-00121,180,Burn+Thin,cedar,0.0,12,0.0,2001-2003
0180-00121,180,Burn+Thin,fir,0.42264973081037427,15,0.12754526931153828,2001-2003
0180-00121,180,Burn+Thin,pine,0.0,2,0.0,2001-2003
0180-00121,180,Burn+Thin,psme,0.2928932188134524,2,0.3217971264527913,2001-2003
0190-00010,190,Thin,cedar,0.5,8,0.1767766952966369,2001-2003
0190-00010,190,Thin,fir,0.0,1,0.0,2001-2003
0190-00010,190,Thin,pine,0.18350341907227397,3,0.2234799873672953,2001-2003
0190-00010,190,Thin,psme,0.38762756430420553,8,0.17225433074954696,2001-2003
0190-00024,190,Thin,cedar,0.0,1,0.0,2001-2003
0190-00024,190,Thin,fir,0.0,1,0.0,2001-2003
0190-00024,190,Thin,oak,0.0,3,0.0,2001-2003
0190-00024,190,Thin,psme,0.1339745962155614,4,0.17031250965830336,2001-2003
0190-00025,190,Thin,cedar,0.0,2,0.0,2001-2003
0190-00025,190,Thin,fir,0.18350341907227397,3,0.2234799873672953,2001-2003
0190-00025,190,Thin,oak,0.0,1,0.0,2001-2003
0190-00026,190,Thin,cedar,0.42264973081037427,6,0.20166677790201853,2001-2003
0190-00026,190,Thin,fir,0.42264973081037427,6,0.20166677790201853,2001-2003
0190-00026,190,Thin,pine,0.18350341907227397,3,0.2234799873672953,2001-2003
0190-00026,190,Thin,psme,0.5,4,0.25,2001-2003
0190-00027,190,Thin,fir,0.0,2,0.0,2001-2003
0190-00027,190,Thin,psme,0.0,3,0.0,2001-2003
0190-00102,190,Thin,cedar,0.20943058495790512,8,0.1438616588263247,2001-2003
0190-00102,190,Thin,fir,0.5,4,0.25,2001-2003
0190-00102,190,Thin,pine,0.0,1,0.0,2001-2003
0190-00102,190,Thin,psme,0.0,3,0.0,2001-2003
0190-00104,190,Thin,oak,0.10557280900008414,5,0.137424299889005,2001-2003
0190-00104,190,Thin,pine,0.0,2,0.0,2001-2003
0190-00106,190,Thin,cedar,0.2254033307585166,5,0.18686715561675538,2001-2003
0190-00106,190,Thin,fir,0.2928932188134524,2,0.3217971264527913,2001-2003
0190-00106,190,Thin,psme,0.1339745962155614,4,0.17031250965830336,2001-2003
0190-00108,190,Thin,cedar,0.2440710539815456,7,0.1623489955927763,2001-2003
0190-00108,190,Thin,fir,0.5,4,0.25,2001-2003
0190-00108,190,Thin,oak,0.0,1,0.0,2001-2003
0190-00108,190,Thin,psme,0.2928932188134524,4,0.22754493028111367,2001-2003
0190-00110,190,Thin,cedar,0.3675444679663241,10,0.15246492450189186,2001-2003
0190-00110,190,Thin,fir,0.0,3,0.0,2001-2003
0190-00110,190,Thin,oak,0.0,1,0.0,2001-2003
0190-00110,190,Thin,pine,0.0,1,0.0,2001-2003
0190-00110,190,Thin,psme,0.0,1,0.0,2001-2003
0190-00111,190,Thin,cedar,0.10557280900008414,5,0.137424299889005,2001-2003
0190-00111,190,Thin,fir,0.0,2,0.0,2001-2003
0190-00111,190,Thin,oak,0.0,1,0.0,2001-2003
0190-00111,190,Thin,pine,0.0,2,0.0,2001-2003
0190-00111,190,Thin,psme,0.18350341907227397,3,0.2234799873672953,2001-2003
0190-00113,190,Thin,cedar,0.2928932188134524,12,0.13137312675053558,2001-2003
0190-00113,190,Thin,fir,0.18350341907227397,3,0.2234799873672953,2001-2003
0190-00113,190,Thin,other_hardwood,0.09546596626670911,11,0.08860136236971891,2001-2003
0190-00113,190,Thin,pine,0.0,1,0.0,2001-2003
0190-00113,190,Thin,psme,0.0,1,0.0,2001-2003
0190-00114,190,Thin,cedar,0.04653741075440765,11,0.06351211778055586,2001-2003
0190-00114,190,Thin,fir,0.0871290708247231,6,0.11513585876544825,2001-2003
0190-00114,190,Thin,oak,0.0,2,0.0,2001-2003
0190-00116,190,Thin,cedar,0.2022759647825344,11,0.12111617220061877,2001-2003
0190-00116,190,Thin,fir,0.0,8,0.0,2001-2003
0190-00116,190,Thin,oak,0.0,1,0.0,2001-2003
0190-00116,190,Thin,other_hardwood,0.0,2,0.0,2001-2003
0190-00116,190,Thin,pine,0.0,1,0.0,2001-2003
0190-00116,190,Thin,psme,0.1339745962155614,4,0.17031250965830336,2001-2003
0240-00003,240,None,cedar,0.07417990022744858,7,0.0990506671425534,2001-2003
0240-00003,240,None,fir,0.18350341907227397,3,0.2234799873672953,2001-2003
0240-00003,240,None,pine,0.0,1,0.0,2001-2003
0240-00003,240,None,psme,0.0,1,0.0,2001-2003
0240-00005,240,None,cedar,0.0,12,0.0,2001-2003
0240-00005,240,None,fir,0.0,2,0.0,2001-2003
0240-00005,240,None,oak,0.0,4,0.0,2001-2003
0240-00005,240,None,pine,0.0,1,0.0,2001-2003
0240-00007,240,None,cedar,0.0,13,0.0,2001-2003
0240-00007,240,None,fir,0.0,7,0.0,2001-2003
0240-00007,240,None,oak,0.0,1,0.0,2001-2003
0240-00007,240,None,pine,0.0,2,0.0,2001-2003
0240-00009,240,None,cedar,0.0,10,0.0,2001-2003
0240-00009,240,None,fir,0.0,7,0.0,2001-2003
0240-00009,240,None,oak,0.0,2,0.0,2001-2003
0240-00009,240,None,pine,0.0,3,0.0,2001-2003
0240-00009,240,None,psme,0.0,3,0.0,2001-2003
0240-00022,240,None,cedar,0.0,51,0.0,2001-2003
0240-00022,240,None,fir,0.0,4,0.0,2001-2003
0240-00022,240,None,oak,0.0,4,0.0,2001-2003
0240-00026,240,None,cedar,0.0,9,0.0,2001-2003
0240-00026,240,None,pine,0.0,1,0.0,2001-2003
0240-00026,240,None,psme,0.0,4,0.0,2001-2003
0240-00101,240,None,fir,0.0,6,0.0,2001-2003
0240-00101,240,None,oak,0.0,3,0.0,2001-2003
0240-00101,240,None,other_hardwood,0.0,3,0.0,2001-2003
0240-00101,240,None,psme,0.036375888340568485,14,0.050037616627038685,2001-2003
0240-00102,240,None,cedar,0.0,9,0.0,2001-2003
0240-00102,240,None,fir,0.0,1,0.0,2001-2003
0240-00102,240,None,pine,0.0,3,0.0,2001-2003
0240-00102,240,None,psme,0.0,5,0.0,2001-2003
0240-00104,240,None,fir,0.0,9,0.0,2001-2003
0240-00105,240,None,cedar,0.0,5,0.0,2001-2003
0240-00105,240,None,fir,0.0,9,0.0,2001-2003
0240-00105,240,None,oak,0.0,1,0.0,2001-2003
0240-00105,240,None,pine,0.0,7,0.0,2001-2003
0240-00105,240,None,psme,0.0,1,0.0,2001-2003
0240-00106,240,None,cedar,0.0,14,0.0,2001-2003
0240-00106,240,None,fir,0.06458565330651467,16,0.06144832518745189,2001-2003
0240-00107,240,None,cedar,0.0,2,0.0,2001-2003
0240-00107,240,None,fir,0.0,4,0.0,2001-2003
0240-00107,240,None,pine,0.0,2,0.0,2001-2003
0240-00109,240,None,cedar,0.0,25,0.0,2001-2003
0240-00109,240,None,fir,0.0,3,0.0,2001-2003
0240-00109,240,None,oak,0.0,7,0.0,2001-2003
0240-00109,240,None,pine,0.0,3,0.0,2001-2003
0240-00110,240,None,cedar,0.0,8,0.0,2001-2003
0240-00110,240,None,fir,0.0,9,0.0,2001-2003
0240-00110,240,None,oak,0.0,1,0.0,2001-2003
0240-00110,240,None,pine,0.0,1,0.0,2001-2003
0240-00112,240,None,cedar,0.0,6,0.0,2001-2003
0240-00112,240,None,fir,0.0871290708247231,6,0.11513585876544825,2001-2003
0240-00112,240,None,oak,0.0,1,0.0,2001-2003
0240-00112,240,None,psme,0.0,1,0.0,2001-2003
0240-00113,240,None,cedar,0.017392631118965052,29,0.024275805680528534,2001-2003
0240-00113,240,None,fir,0.07417990022744858,7,0.0990506671425534,2001-2003
0240-00113,240,None,oak,0.0,1,0.0,2001-2003
0240-00113,240,None,pine,0.0,2,0.0,2001-2003
0240-00113,240,None,psme,0.0,7,0.0,2001-2003
0240-00114,240,None,cedar,0.0,14,0.0,2001-2003
0240-00114,240,None,fir,0.0,5,0.0,2001-2003
0240-00114,240,None,oak,0.0,1,0.0,2001-2003
0240-00114,240,None,pine,0.0,5,0.0,2001-2003
0240-00114,240,None,psme,0.0,2,0.0,2001-2003
0240-00115,240,None,cedar,0.021980706156348506,23,0.030572476050836805,2001-2003
0240-00115,240,None,fir,0.0,10,0.0,2001-2003
0240-00115,240,None,pine,0.0871290708247231,6,0.11513585876544825,2001-2003
0240-00115,240,None,psme,0.0,6,0.0,2001-2003
0340-00006,340,Burn,cedar,0.0,1,0.0,2001-2003
0340-00006,340,Burn,fir,0.0,4,0.0,2001-2003
0340-00006,340,Burn,psme,0.0,1,0.0,2001-2003
0340-00013,340,Burn,cedar,0.0,8,0.0,2001-2003
0340-00013,340,Burn,fir,0.0,4,0.0,2001-2003
0340-00013,340,Burn,oak,0.0,1,0.0,2001-2003
0340-00013,340,Burn,other_hardwood,0.0,6,0.0,2001-2003
0340-00013,340,Burn,psme,0.0,1,0.0,2001-2003
0340-00024,340,Burn,cedar,0.0,4,0.0,2001-2003
0340-00024,340,Burn,fir,0.036375888340568485,14,0.050037616627038685,2001-2003
0340-00024,340,Burn,oak,0.1339745962155614,4,0.17031250965830336,2001-2003
0340-00024,340,Burn,psme,0.0,5,0.0,2001-2003
0340-00025,340,Burn,cedar,0.0,9,0.0,2001-2003
0340-00025,340,Burn,fir,0.0,4,0.0,2001-2003
0340-00025,340,Burn,oak,0.0,1,0.0,2001-2003
0340-00025,340,Burn,pine,0.0,1,0.0,2001-2003
0340-00025,340,Burn,psme,0.0,2,0.0,2001-2003
0340-00026,340,Burn,cedar,0.0,2,0.0,2001-2003
0340-00026,340,Burn,fir,0.0,8,0.0,2001-2003
0340-00026,340,Burn,other_hardwood,0.0,1,0.0,2001-2003
0340-00026,340,Burn,psme,0.0,1,0.0,2001-2003
0340-00103,340,Burn,cedar,0.06905066374873725,15,0.06546381676651415,2001-2003
0340-00103,340,Burn,fir,0.0871290708247231,12,0.08141334649078506,2001-2003
0340-00103,340,Burn,oak,0.0,2,0.0,2001-2003
0340-00104,340,Burn,cedar,0.1339745962155614,4,0.17031250965830336,2001-2003
0340-00104,340,Burn,fir,0.0,6,0.0,2001-2003
0340-00104,340,Burn,oak,0.0,1,0.0,2001-2003
0340-00104,340,Burn,other_hardwood,0.0,7,0.0,2001-2003
0340-00104,340,Burn,psme,0.0,2,0.0,2001-2003
0340-00108,340,Burn,cedar,0.0,18,0.0,2001-2003
0340-00108,340,Burn,fir,0.0,12,0.0,2001-2003
0340-00108,340,Burn,oak,0.0,3,0.0,2001-2003
0340-00108,340,Burn,other_hardwood,0.18350341907227397,9,0.1290262308650021,2001-2003
0340-00109,340,Burn,cedar,0.05131670194948623,10,0.06977341761051542,2001-2003
0340-00109,340,Burn,fir,0.0,13,0.0,2001-2003
0340-00109,340,Burn,oak,0.18350341907227397,3,0.2234799873672953,2001-2003
0340-00109,340,Burn,pine,0.0,1,0.0,2001-2003
0340-00109,340,Burn,psme,0.0,2,0.0,2001-2003
0340-00111,340,Burn,cedar,0.2022759647825344,11,0.12111617220061877,2001-2003
0340-00111,340,Burn,fir,0.0,2,0.0,2001-2003
0340-00112,340,Burn,fir,0.0,6,0.0,2001-2003
0340-00112,340,Burn,other_hardwood,0.11359473957208166,14,0.08480691292309363,2001-2003
0340-00112,340,Burn,pine,0.0,2,0.0,2001-2003
0340-00112,340,Burn,psme,0.0,5,0.0,2001-2003
0340-00113,340,Burn,other_hardwood,0.06905066374873725,30,0.04628990875795576,2001-2003
0340-00113,340,Burn,pine,0.0,1,0.0,2001-2003
0340-00114,340,Burn,cedar,0.0,3,0.0,2001-2003
0340-00114,340,Burn,fir,0.0,3,0.0,2001-2003
0340-00114,340,Burn,other_hardwood,0.06458565330651467,8,0.08690105486520673,2001-2003
0340-00114,340,Burn,psme,0.0,4,0.0,2001-2003
0340-00115,340,Burn,cedar,0.0,2,0.0,2001-2003
0340-00115,340,Burn,fir,0.0,7,0.0,2001-2003
0340-00115,340,Burn,pine,0.0,2,0.0,2001-2003
0340-00116,340,Burn,cedar,0.0,2,0.0,2001-2003
0340-00116,340,Burn,fir,0.0,5,0.0,2001-2003
0340-00116,340,Burn,other_hardwood,0.0,10,0.0,2001-2003
0340-00116,340,Burn,psme,0.0,3,0.0,2001-2003
0340-00117,340,Burn,cedar,0.0,3,0.0,2001-2003
0340-00117,340,Burn,fir,0.0,6,0.0,2001-2003
0340-00117,340,Burn,psme,0.0,1,0.0,2001-2003
0340-00121,340,Burn,cedar,0.0,2,0.0,2001-2003
0340-00121,340,Burn,fir,0.0,7,0.0,2001-2003
0340-00121,340,Burn,oak,0.0,1,0.0,2001-2003
0340-00121,340,Burn,other_hardwood,0.2928932188134524,2,0.3217971264527913,2001-2003
0340-00121,340,Burn,pine,0.0,2,0.0,2001-2003
0340-00121,340,Burn,psme,0.0,1,0.0,2001-2003
0340-00122,340,Burn,cedar,0.0,1,0.0,2001-2003
0340-00122,340,Burn,fir,0.033908216920704115,15,0.0467321800233077,2001-2003
0340-00123,340,Burn,cedar,0.0,3,0.0,2001-2003
0340-00123,340,Burn,fir,0.0,11,0.0,2001-2003
0340-00123,340,Burn,pine,0.0,3,0.0,2001-2003
0340-00124,340,Burn,cedar,0.1339745962155614,4,0.17031250965830336,2001-2003
